,song,artist,genre,artists(shazam),songwriters,producers
75,Riptide,Vance Joy,Alternative,"['Vance Joy', 'Edwin White', 'James Keogh']",['Vance Joy'],"['John Castle', 'Edwin White', 'James Keogh', 'Steve Smart']"
76,Counting Stars,OneRepublic,Pop,"['Ryan Tedder', 'Zach Filkins', 'Brent Kutzle', 'Eddie Fisher', 'Bobbie Gordon', 'David McGlohon', 'Drew Brown', 'HarpEri']",['Ryan Tedder'],"['Ryan Tedder', 'Noel Zancanella', 'Joe Zook', 'Chris Gehringer', 'Matthew Tryba', 'Ryan Lipman', 'Smith Carlson']"
77,Segun Quien,XXXTENTACION & Lil Pump,Hip-Hop/Rap,"['XXXTENTACION', 'Lil Pump', 'Maluma', 'Swae Lee']","['Edgar Barrera', 'Gazzy Garcia', 'Franck Bondrille', 'JOHN A CRAWFORD', 'Flavio Santana', 'Khalif Brown', 'XXXTentacion', 'Jm Throckmorton', 'Juan Luis Londono', 'Gil Corber', 'Jamal Rashid']","['Edgar Barrera', 'Brandon Brown', 'Jacob Richards', 'Mike Seaberg', 'Rashawn McLean', 'Dave Kutch', 'Jaycen Joshua', 'Koen Heldens', 'Skrillex', 'Tom Norris', 'JonFX', 'Mally Mall', 'Gerald Yusuf']"
78,Without Me,Eminem,Hip-Hop/Rap,"['Eminem', 'Jeff Bass', 'Obie Trice']","['Eminem', 'Kevin Bell', 'Anne Dudley', 'Jeff Bass', 'Malcolm McLaren', 'Trevor Horn']","['Eminem', 'Jeff Bass', 'DJ Head', 'Steve King', 'Mauricio ""Veto"" Iragorri', 'Alex Reverberi', 'Mike Strange', 'Dr. Dre', 'Urban Kris']"
79,Saturn,SZA,R&B/Soul,['SZA'],"['Scott Zhang', 'Jared Solomon', 'SZA', 'Rob Bisel', 'Cian Ducrot', 'Carter Lang']",
80,Unwritten,Natasha Bedingfield,Pop,"['Natasha Bedingfield', 'Danielle Brisebois', 'Wayne Rodrigues', 'Nick Lashley', 'Keith Crouch', 'Nikola Bedingfield', 'Jessi Collins', 'Ryan Collins']","['Danielle Brisebois', 'Natasha Bedingfield', 'Wayne Rodrigues']","['Danielle Brisebois', 'Wayne Rodrigues', 'Ryan Freeland', 'Mark ""Spike"" Stent', 'Rob Haggett', 'David Treahern', 'Jared Robbins']"
81,Feather,Sabrina Carpenter,Pop,['Sabrina Carpenter'],"['Amy Allen', 'John Ryan', 'Sabrina Carpenter']",
82,Stay,The Kid LAROI & Justin Bieber,Pop,"['The Kid LAROI', 'Justin Bieber', 'Blake Slatkin', 'Omer Fedi', 'Charlie Puth', 'Cashmere Cat']","['Charlton Howard', 'Omer Fedi', 'Michael Mule', 'Justin Bieber', 'Magnus August Hoiberg', 'Isaac DeBoni', 'Charlie Puth', 'Blake Slatkin', 'Subhaan Rahmaan']","['Blake Slatkin', 'Omer Fedi', 'Charlie Puth', 'Cashmere Cat', 'Josh Gudwin', 'Elijah Marrett-Hitch', 'Heidi Wang', 'Serban Ghenea', 'John Hanes']"
83,Shut Up My Moms Calling,Hotel Ugly,Neo-Soul,"['Cristopher Fiscella', 'Michael Fiscella']","['Michael Fiscella', 'Cristopher Fiscella']",['Hotel Ugly']
84,Lunch,Billie Eilish,Alternative,['Billie Eilish'],"['Billie Eilish', 'Finneas']",
85,Take Me To Church,Hozier,Singer/Songwriter,"['Hozier', 'Fiachra Kinder', 'Alex Ryan']",['Hozier'],"['Hozier', 'Rob Kirwan']"
86,I Can Do It With A Broken Heart,Taylor Swift,Pop,['Taylor Swift'],['Taylor Swift'],
87,Heat Waves,Glass Animals,Alternative,"['Andrew MacFarlane', 'Edmund Irwin-Singer', 'Joe Seaward', 'David Algernon Bayley']",['Dave Bayley'],"['Manny Marroquin', 'Jamie McEvoy', 'Chris Gehringer', 'David Algernon Bayley']"
88,Pink + White,Frank Ocean,Pop,"['Frank Ocean', 'Alisha Bauer', 'Charlie Bisharat', 'Chris Woods', 'Crystal Alforque', 'Daphne Chen', 'Eric Gorfain', 'Gina Kronstadt', 'Ginger Murphy', 'John Krovoza', 'Kathleen Sloan', 'Leah Katz', 'Lisa Dondlinger', 'Marcy Dicterow Vaj', 'Marisa Kuney', 'Neel Hammond', 'Pharrell Williams', 'Rodney Wirtz', 'Simon Huber', 'Songa Lee', 'Stefanie Fife', 'Terry Glenny', 'Beyonce', 'Adriana Zoppo', 'Stefan Smith']","['Pharrell L. Williams', 'Ã\x84Ã¦Ã®Ã\xad Ã\x81Ã°Ã\xa0Ã©Ã®Ã\xad', 'Frank Ocean', 'Benjamin Wright']","['Frank Ocean', 'Eric Caudieux', 'Greg Keller', 'Jeff Ellis', 'MIKE DEAN', 'Pharrell Williams']"
